count,nev
10,Hegedűs Barnabás
9,Szűcs Abigél
8,Balázs Léna
8,Hegedűs Szabolcs
8,Somogyi Emili
8,Fazekas Nara
7,Hegedüs Nikolasz
7,Barta Lara
7,Novák Panka
7,Török Bella
6,Pap Alina
6,Pataki Emília
6,Szalai Kevin
5,Balázs Gergely
5,Kelemen Denisz
5,Bakos Balázs
5,Magyar Félix
5,Major Bianka
5,Németh Bence
5,Oláh Boróka
5,Gál Elizabet
4,Orsós Rebeka
4,Fábián Zente
4,Szücs Mirella
4,Váradi Richárd
4,Molnár Zara
4,Kocsis Zénó
4,Barna Fanni
4,Barta Soma
3,Kozma Viktor
3,Balogh Elena
3,Fodor Ákos
3,Pál Máté
3,Takács Alina
2,Dudás Benedek
2,Vörös Péter
2,Bognár Emili
2,Biró Félix
1,Orsós Alex
